restaurant_id,restaurant_name,restaurant_website,address1,city,state,zip code
128,The Cheesecake Factory,thecheesecakefactory.com,301 Mount Hope AveSte 1013B,Rockaway,NJ,07866
129,Gusto 46,gusto46.com,271 US Hwy 46,Mine Hill,NJ,07803
130,Ruth’s Chris Steak House,ruthschris.com,1 Hilton Ct,Parsippany,NJ,07054
131,Paisano’s Pizzeria,paisanospizzanj.com,138 Center Grove RdWeis Shopping Center,Randolph,NJ,07869
132,The Tuscan Table,thetuscantabledenville.com,28 Diamond Spring Rd,Denville,NJ,07834
133,Casa D Pizza,casadpizzadenville.com,276 E Main St,Denville,NJ,07834
134,Tierras y Sabores Restaurant,tierrasysabores.net,39 W Blackwell StSte 1,Dover,NJ,07801
135,Little Nicki’s,,120 Brady Rd,Lake Hopatcong,NJ,07849
136,The 53 Grill,,383 E Main St,Denville,NJ,07834
137,Espanong Market,,327 Espanong Rd,Lake Hopatcong,NJ,07849
138,Delikosositas Colombian Bakery and Cafe,,337 US-46,Rockaway,NJ,07866
139,LongHorn Steakhouse,LongHornSteakhouse.com,50-J International Dr S,Flanders,NJ,07836
140,Yokohama Sushi,,1013 US 46 And Howard Blvd,Ledgewood,NJ,07852
141,Bill’s Luncheonette,billsluncheonette.com,455 North Rd,Chester,NJ,07930
142,Luzzi’s Hibernia Inn,luzzishiberniainn.com,439 Green Pond Rd,Rockaway,NJ,07866
143,Las Brisaz,,29 E Blackwell St,Dover,NJ,07801
144,Fuddruckers,fuddruckers.com,275 Rt 10,Succasunna,NJ,07876
145,The Colonial Grill,,3 W Park Pl,Morristown,NJ,07960
146,Brooklyn Bagel & Deli,brooklynbagelanddelinj.com,517 E Rte 10,Randolph,NJ,07869
147,TGI Fridays,,1103 Route 46,Ledgewood,NJ,07852
148,Benito’s Jersey Curbside Eats,benitosjce.com,"Flanders, NJ 07836",Flanders,NJ,07836
149,Marino’s Cafe,elmarinoscafe.com,90 Belmont Ave,Dover,NJ,07801
150,Revolution,revolutionmorristown.com,9 South St,Morristown,NJ,07960
151,Rod’s Steak & Seafood Grille,rodssteak.com,1 Convent Rd,Morristown,NJ,07960
152,Red Lobster,redlobster.com,303 Route 10 - Roxbury TownshipLedgewood Mall,Ledgewood,NJ,07852
153,Three Brothers Restaurant,,9 N Morris St,Dover,NJ,07801
154,L’eggo My Bagel,,760 US-46,Kenvil,NJ,07847
155,Bagel Nosh,,399 US-46Route 46 West,Rockaway,NJ,07866
156,Lung Yung Restaurant,lungyungrestaurant.com,275-50 Roxbury Mall,Succasunna,NJ,07876
157,The Second Half On Main,secondhalfonmain.com,5 E Main StSte 15,Denville,NJ,07834
158,Sandwiches Unlimited Lunch Box,sandwichesunlimitedlunchbox.co…,Boro Plz350 US Hwy 46,Rockaway,NJ,07866
159,Market Tavern,,240 US-206Ste 1,Mount Olive Township,NJ,07836
160,Sogo Restaurant,sogo.cc,248 US Hwy 46 W,Denville,NJ,07834
161,My Kitchen,,301 Mount Hope AveSte 2101,Rockaway,NJ,07866
162,Bernie’s,bernieshillside.com,125 Hillside Rd,Chester,NJ,07930
163,Joe and Anthony’s Pizza,joeandanthonys.com,30 International Dr SE1,Mount Olive Township,NJ,07836
164,Dante’s Ristorante,dantesnj.com,100 E Main St,Mendham,NJ,07945
165,Collins Pub Morris Plains,,688 Speedwell Ave,Morris Plains,NJ,07950
166,Eagle Mini Diner,eagledinernj.com,134 Ledgewood Ave,Netcong,NJ,07857
167,La Gratella,lagratellapizza.com,450 Rt 10 W,Ledgewood,NJ,07852
168,Sheimer’s Deli,sheimers.com,3110 Rte 10,Denville,NJ,07834
169,China King,chinakingnj.com,760 US Hwy 46,Kenvil,NJ,07847
170,La Casa De Pollo,,104 Speedwell Ave,Morristown,NJ,07960
171,Los Criollos,,5 S Main St,Wharton,NJ,07885
172,Rockbottom Morris Patio & Grill,rockbottomgrill.com,4 John St,Morristown,NJ,07960
173,Tiny’s Tavern,,110 Brady Rd,Lake Hopatcong,NJ,07849
174,M & S Pizza II,,424 US Hwy 46 W,Rockaway Township,NJ,07866
175,Royal Halal Chicken And Biscuit,,330 S Salem St,Dover,NJ,07801
176,Big D’s Hot Dogs,,Dover Train Station,Dover,NJ,07801
177,Luigis Pizza,,275 State Rt 10 E,Succasunna,NJ,07876
178,Naranja Juice Bar,,6B S Warren St,Dover,NJ,07801
179,Clean Juice,cleanjuice.com/locations/morri…,68 South St,Morristown,NJ,07960
180,China City Restaurant,chinacityrandolphnj.com,148 Center Grove Rd,Randolph,NJ,07869
181,Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_83200,Rockaway Townsquare Mall-301 Mt Hope Road - Suite 2109, Rockaway,NJ,07866
182,Buffalo Wild Wings,https://www.buffalowildwings.com/en/locations/detail/3634/?utm_source=google&utm_medium=organic&utm_campaign=rio,343 Mt Hope Ave, Rockaway,NJ,07866
183,Auntie Anne's,https://www.auntieannes.com/nj/rockaway/119-1?utm_source=google&utm_medium=organic&utm_campaign=localmaps,301 Mt Hope Ave Suite 1048, Rockaway,NJ,07866
184,Subway,https://order.subway.com/en-us/restaurant/21972/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=21972&utm_campaign=evergreen-2020&y_source=1_MTQ5MTIyMjQtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,559 E Main St Store # 2, Denville,NJ,07834
185,Cinnamon,http://www.cinnamonindianrestaurant.com/,2920 NJ-10, Morris Plains,NJ,07950
186,The Quiet Man Pub/Restaurant,http://www.quietmanpub.com/,64 E McFarlan St, Dover,NJ,07801
187,Starbucks,https://www.starbucks.com/store-locator/store/12861/,3056 NJ-10 West, Denville,NJ,07834
188,Casa Bella,http://casabella46.com/,300 US-46, Denville,NJ,07834
189,Thatcher McGhee's Denville,http://www.thatchermcghees.com/denville,53 Broadway, Denville,NJ,07834
190,Forte Pizzeria,http://www.fortepizzeria.com/,486 NJ-10, Randolph,NJ,07869
191,Five Guys,https://order.fiveguys.com/menu/denville/,"3056 Route 10 West, Suite C-1", Denville,NJ,07834
192,Sogo Hibachi Grill,http://www.sogo.cc/,"2730 248, US-46", Denville,NJ,07834
193,Subway,https://order.subway.com/en-us/restaurant/33969/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=33969&utm_campaign=evergreen-2020&y_source=1_MTQ4OTU4NzgtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,220 Enterprise Dr, Rockaway,NJ,07866
194,Classic Cafe Management Inc,http://classiccafe.org/html/home.html,400 Interpace Pkwy, Parsippany,NJ,07054
195,Subway,https://www.subway.com/en-us,170 State Rt 46 E, Rockaway,NJ,07866
196,Panera Bread,https://locations.panerabread.com/nj/denville/3056-state-route-10.html?utm_medium=display-ad&utm_source=paid-digital&utm_campaign=yext&utm_content=local-search,3056 NJ-10 Suite S1, Denville,NJ,07834
197,Caffè NaVona,http://www.caffenavona.com/,147 US-46, Rockaway,NJ,07866
198,Hibernia Diner Restaurant,http://www.hiberniadiner.com/,9 Green Pond Rd, Rockaway,NJ,07866
199,Subway,https://order.subway.com/en-us/restaurant/46636/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=46636&utm_campaign=evergreen-2020&y_source=1_MTQ5MDk4MjQtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,148 Center Grove Rd, Randolph,NJ,07869
200,Red Robin Gourmet Burgers and Brews,https://redrobin.com/locations/rockaway,301 Mt Hope Ave, Rockaway,NJ,07866
201,Mario's Famous Pizza,http://www.mariosfamouspizza.com/,140 Rte 10 West, Randolph,NJ,07869
202,Cafe metro,http://www.thecafemetro.com/,Diamond Spring Rd, Denville,NJ,07834
203,Thai Nam Phet,http://www.thainamphet.com/,296 US-46 A, Rockaway,NJ,07866
204,Randolph Diner,https://www.therandolphdiner.com/,517 NJ-10 E, Randolph,NJ,07869
205,Townsquare Diner,http://townsquare-diner.com/,320 NJ-15, Wharton,NJ,07885
206,Cafe Fiori,,477 NJ-10 STE 15, Randolph,NJ,07869
207,Alexis Diner,http://www.alexisdinernj.com/,3130 NJ-10, Denville,NJ,07834
208,Paul's Family Diner,http://www.paulsfamilydiner.com/,320 US-46, Mountain Lakes,NJ,07046
