,restaurant_id,google_price_level,google_rating,google_maps_url
20,457,4.0,4.4,https://maps.google.com/?cid=17234745125891652612
21,458,0.0,4.1,https://maps.google.com/?cid=8122219627276404697
23,459,0.0,4.4,https://maps.google.com/?cid=3279464098397647907
24,460,1.0,4.7,https://maps.google.com/?cid=15438828541263994132
25,461,2.0,4.4,https://maps.google.com/?cid=13027275018366247310
26,462,2.0,4.2,https://maps.google.com/?cid=773350833868311206
27,463,0.0,4.4,https://maps.google.com/?cid=653479538154627225
29,464,2.0,4.5,https://maps.google.com/?cid=12111564385776009695
30,465,0.0,4.7,https://maps.google.com/?cid=8331701864952879779
31,466,2.0,4.1,https://maps.google.com/?cid=1616621148155066875
32,467,2.0,3.6,https://maps.google.com/?cid=13778617519495280818
33,468,2.0,4.2,https://maps.google.com/?cid=15112342085930840195
34,469,2.0,3.6,https://maps.google.com/?cid=9025988377126974915
35,470,3.0,4.1,https://maps.google.com/?cid=3543060601759244459
38,471,1.0,4.7,https://maps.google.com/?cid=3203425789633758002
39,472,1.0,3.9,https://maps.google.com/?cid=4277009541620101164
